tissue_site,cell_type_clean,Cell_subtype,total_cells,n_sample_subtypes,mean_cells_per_sample,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
pleural_effusion,Myeloid cells,Undetermined,113,3,37.666666666666664,0.03084377752608311,0.06522397586648983,1.0625590500928384,0.549702443611848,0.39590186808576483,0.6692431036560565,0.2541587340495137
pleural_effusion,NK cells,CD8 low T,29,1,29.0,0.2719688375862069,1.9650984137931033,0.11430488413793104,0.060845295517241375,0.3186089751724138,0.4022641217241379,0.24671661586206897
pleural_effusion,NK cells,NK,514,5,102.8,0.12588210485632045,2.0282805269308977,0.08842854937090165,0.03201741163552218,0.28015025307495683,0.3811092277389304,0.19432317336151306
pleural_effusion,T lymphocytes,CD8 low T,1644,5,328.8,0.11598804454437543,0.6358310423692409,0.09332581487611771,0.028985252210435138,0.3404058874235155,0.43088971729557934,0.24269793567605347
pleural_effusion,T lymphocytes,Cytotoxic CD8+ T,98,3,32.666666666666664,0.227202367771836,1.559759170735294,0.08438368292335115,0.05087158680481283,0.3870178567566845,0.40000870137700534,0.25060707592335113
pleural_effusion,T lymphocytes,Exhausted CD8+ T,423,5,84.6,0.2904245663123387,1.3223382058545177,0.09681364064293846,0.03400565880664012,0.36733865852160574,0.4817694202877261,0.3312507116179275
pleural_effusion,T lymphocytes,Naive CD4+ T,4360,5,872.0,0.061251225682432554,0.07777541346155317,0.08451929818882917,0.02915746812878503,0.3086770192885372,0.4692980396703719,0.1866421455990508
pleural_effusion,T lymphocytes,Naive CD8+ T,1398,5,279.6,0.1589486108639721,0.8970104515915731,0.09485298384389598,0.0326696128384176,0.3248592024934315,0.37811135232060933,0.23485198475590513
pleural_effusion,T lymphocytes,Treg,513,4,128.25,0.2634329824721612,0.0956780810473212,0.09733527840144385,0.031723368744012964,0.29024958543056834,0.5062017976131628,0.26127453721912786
pleural_effusion,T lymphocytes,Undetermined,23,1,23.0,0.3605222689565218,0.9402602086956522,0.0959732352173913,0.04876537086956522,0.49646247260869564,0.705202887826087,1.9734716217391304
primary_tumor,B lymphocytes,Follicular B cells,3580,11,325.45454545454544,0.01614209629820025,0.02387139333463888,0.06325145743044062,0.13482193277856472,0.22469638294877886,0.20677569604622487,0.0906922746819785
primary_tumor,B lymphocytes,GC B cells in the DZ,51,1,51.0,0.044268501764705884,0.04438141625490196,0.08968878735294118,0.1300249635490196,0.19457197521568625,0.4759454088235294,1.8234604815686275
primary_tumor,B lymphocytes,GC B cells in the LZ,82,1,82.0,0.0779150898780488,0.03506199829268293,0.06903802317073171,0.14754797097560976,0.10387600414634146,0.27729190658536584,0.2870692812195122
primary_tumor,B lymphocytes,MALT B cells,1111,9,123.44444444444444,0.01289164475121668,0.05226253954788615,0.06814138196470826,0.14932035667553642,0.24188494257336657,0.18225047006762793,0.07397910537845294
primary_tumor,B lymphocytes,Plasma cells,283,5,56.6,0.006027998853959003,0.02838340098347788,0.049747611997015814,0.14635956806554884,0.09992665944783374,0.08665285732377175,0.017752083345759614
primary_tumor,B lymphocytes,Undetermined,62,2,31.0,0.13320994765756303,0.20777576669117648,0.06555605832983194,0.11858902988445379,0.34829795578781514,0.34114697847689074,0.18299120800420168
primary_tumor,Endothelial cells,Lymphatic ECs,42,1,42.0,0.014022869285714284,0.09002524052380953,0.043689693452380954,0.2803512769047619,0.7109904445238096,0.5023747788095237,0.4423286442857143
primary_tumor,Endothelial cells,Stalk-like ECs,85,2,42.5,0.0017379596666666666,0.02932519231818182,0.08313630984848484,0.18175191577272726,0.645441447378788,0.37600479437878787,0.2048510543939394
primary_tumor,Endothelial cells,Tip-like ECs,134,2,67.0,0.021922441583333334,0.024000962569819824,0.08758448406756757,0.20564797997522521,0.6344687895315315,0.285995474490991,0.19158709552702705
primary_tumor,Endothelial cells,Tumor ECs,211,5,42.2,0.005164533201092298,0.037685998112583795,0.07147202001280767,0.1999624758968394,0.7325616338750771,0.4293170682833292,0.18495490528315492
primary_tumor,Epithelial cells,tS1,3265,10,326.5,0.020427090945898934,0.039858738981456275,0.25467484718549027,0.1462371259937484,0.14593659822371402,0.584172968225692,0.1266196118520444
primary_tumor,Epithelial cells,tS2,3002,8,375.25,0.01623818827710916,0.04828473175493057,0.32620811085159107,0.18739735187089568,0.26242109512043477,0.8162404327804246,0.2550114734812731
primary_tumor,Epithelial cells,tS3,37,1,37.0,0.029340227756756758,0.02127467191891892,0.22818453875675676,0.22382643878378378,0.15225585372972975,0.4174484837837838,0.12219921570270272
primary_tumor,Fibroblasts,COL13A1+ matrix FBs,654,5,130.8,0.010952689961395121,0.02697698512565918,0.05188362217977305,0.3287569842860802,0.9886233138030878,0.4724304432587023,0.17452306986155616
primary_tumor,Fibroblasts,COL14A1+ matrix FBs,361,1,361.0,0.013431060709141275,0.04840817033240997,0.047953739506925205,0.360138095432133,1.29580756933518,0.5470245004155124,0.11562792084210526
primary_tumor,Fibroblasts,Myofibroblasts,185,2,92.5,0.013224070596315238,0.03546516349954104,0.0810045137486887,0.14862617398524783,1.3230954440125884,0.6338645630769735,0.16077793366876475
primary_tumor,Fibroblasts,Smooth muscle cells,92,3,30.666666666666668,0.005794141256127451,0.022463472615007543,0.06237075415252639,0.22436461578478506,0.878697839822304,0.46516257634426844,0.17300661458144795
primary_tumor,Fibroblasts,Undetermined,71,2,35.5,0.060104096424483305,0.16959158937519872,0.14673559764308428,0.3860038145727345,0.7777770312758346,0.3873014733624801,0.10789154020508743
primary_tumor,MAST cells,MAST,1809,11,164.45454545454547,0.06312113519349348,0.030768091851525074,0.06831472630277656,0.24632213016748253,0.6362544303324005,0.36444012390505054,0.26878341163109454
primary_tumor,Myeloid cells,Activated DCs,56,2,28.0,0.07717790881666667,0.071994421,0.12559024366944443,0.25326930604166664,0.6092957667777779,0.6160963925555556,0.12152343376666666
